patent_id,method_description,filing_date,approval_date,expiration_date,estimated_value
PAT001,Novel ACE inhibitor formulation,2020-05-10,2021-03-15,2041-03-15,150000000.0
PAT002,Sustained-release cardiovascular drug delivery system,2020-11-22,2022-09-30,2042-09-30,100000000.0
PAT003,Targeted neurological receptor blocker,2021-08-05,2023-06-18,2043-06-18,200000000.0
PAT004,Neurological drug blood-brain barrier penetration enhancer,2022-02-28,2023-12-10,2043-12-10,180000000.0
PAT005,Anti-inflammatory compound for joint treatment,2021-07-14,2023-05-20,2043-05-20,120000000.0
PAT006,Cartilage regeneration stimulator,2022-09-01,2024-02-15,2044-02-15,90000000.0
PAT007,Long-acting insulin analogue,2023-03-20,2024-01-30,2044-01-30,250000000.0
PAT008,Glucose-responsive insulin delivery system,2023-11-10,2024-09-25,2044-09-25,300000000.0
PAT009,Selective cholesterol absorption inhibitor,2022-05-15,2023-10-20,2043-10-20,180000000.0
PAT010,Hepatic cholesterol synthesis regulator,2023-08-30,2024-06-15,2044-06-15,220000000.0
PAT011,Selective sodium channel blocker formulation,2024-01-15,2024-11-20,2044-11-20,80000000.0
